transaction_id,account_id,amount,currency,date,description
t000044,4328,11172.42,GBP,2025-06-11,Adjustment #44
t000045,7104,625.6,CAD,2023-03-20,Transfer #45
t000046,3569,11611.81,CNY,2025-09-17,Charge #46
t000047,2945,11955.09,CAD,2024-10-18,Payment #47
t000048,7685,-1323.07,CNY,2023-08-23,Transfer #48
t000049,8663,10123.92,MXN,2024-11-26,Payment #49
t000050,8405,340.74,EUR,2025-11-08,Payment #50
t000051,8002,-1468.64,CNY,2023-06-20,Transfer #51
t000052,1878,13278.86,AUD,2024-04-13,Adjustment #52
t000053,3550,-1081.73,CNY,2024-05-19,Charge #53
t000054,10294,17497.31,BRL,2025-06-25,Invoice #54
t000055,8545,5878.74,AUD,2023-08-22,Payment #55
t000056,6882,-1577.27,CHF,2025-07-13,Charge #56
t000057,1017,6051.77,JPY,2024-12-10,Adjustment #57
t000058,2327,4329.0,GBP,2023-04-26,Refund #58
t000059,5492,2944.9,USD,2023-12-30,Payment #59
t000060,3146,14402.84,MXN,2025-12-02,Invoice #60
t000061,10183,7359.18,CNY,2023-03-12,Invoice #61
t000062,6074,10948.78,USD,2023-12-15,Adjustment #62
t000063,6181,7574.97,AUD,2025-03-23,Payment #63
t000064,4896,11214.35,USD,2024-07-11,Payment #64
t000065,10906,14521.78,GBP,2024-07-13,Charge #65
t000066,8525,11985.5,JPY,2023-05-21,Adjustment #66
t000067,3396,1002.34,MXN,2025-10-31,Payment #67
t000068,1732,-3112.08,GBP,2023-09-28,Charge #68
t000069,3827,-3208.23,BRL,2023-07-25,Invoice #69
t000070,5007,2020.43,USD,2023-07-25,Adjustment #70
t000071,6088,-1007.92,USD,2023-07-21,Invoice #71
t000072,9773,11438.35,EUR,2025-01-10,Invoice #72
t000073,3848,-4211.84,CHF,2024-02-08,Transfer #73
t000074,2259,17037.1,MXN,2025-12-07,Payment #74
t000075,7736,556.59,USD,2024-05-01,Adjustment #75
t000076,10263,11918.42,CAD,2025-09-07,Invoice #76
t000077,7233,10005.82,AUD,2025-11-11,Adjustment #77
t000078,6018,11200.4,MXN,2025-09-14,Invoice #78
t000079,1757,-3931.46,BRL,2023-09-23,Payment #79
t000080,5211,12468.73,CAD,2023-04-14,Charge #80
t000081,1145,6418.8,MXN,2024-05-09,Refund #81
t000082,10186,4129.6,USD,2025-12-27,Adjustment #82
t000083,6254,-2395.01,GBP,2025-07-28,Payment #83
t000084,9669,4282.86,CAD,2023-06-14,Adjustment #84
t000085,5339,14963.69,JPY,2025-01-10,Refund #85
t000086,6954,5507.89,AUD,2023-10-18,Adjustment #86
t000087,7479,3602.93,MXN,2023-08-24,Adjustment #87
t000088,4049,6337.99,AUD,2023-06-10,Invoice #88
t000089,8196,6153.68,CAD,2025-10-23,Adjustment #89
t000090,7804,13752.09,MXN,2024-05-07,Adjustment #90
t000091,6807,5019.8,EUR,2025-04-02,Charge #91
t000092,8220,8597.57,USD,2025-02-01,Refund #92
t000093,9101,186.83,CAD,2024-02-05,Adjustment #93
t000094,9598,6945.68,JPY,2023-04-06,Invoice #94
t000095,3291,435.39,JPY,2025-02-18,Payment #95
t000096,5947,2427.98,MXN,2025-02-19,Invoice #96
t000097,9098,5606.57,GBP,2023-01-02,Refund #97
t000098,2810,-3209.54,AUD,2025-05-02,Payment #98
t000099,5886,-647.11,CAD,2025-02-06,Invoice #99
t000100,5842,7783.97,CAD,2025-03-23,Adjustment #100
t000101,7906,180.22,MXN,2024-06-20,Charge #101
t000102,1446,16042.97,MXN,2024-10-03,Charge #102
t000103,9826,19423.93,MXN,2025-11-11,Charge #103
t000104,1358,411.27,CHF,2024-04-18,Payment #104
t000105,1464,1957.6,GBP,2025-09-23,Transfer #105
t000106,10886,18013.35,GBP,2025-04-02,Transfer #106
t000107,4720,12252.38,CAD,2024-12-06,Adjustment #107
t000108,3968,13670.5,EUR,2023-08-21,Transfer #108
t000109,3748,7063.86,USD,2025-02-24,Refund #109
t000110,10803,576.36,CAD,2023-03-31,Refund #110
t000111,1818,4428.01,EUR,2023-07-12,Payment #111
t000112,9901,6291.57,EUR,2025-11-17,Invoice #112
t000113,5601,6995.36,CHF,2024-01-30,Payment #113
t000114,2434,8411.84,AUD,2025-03-31,Transfer #114
t000115,1876,16199.56,AUD,2024-11-16,Transfer #115
t000116,8344,8145.51,CHF,2024-05-31,Adjustment #116
t000117,8817,17359.75,CNY,2025-07-08,Adjustment #117
t000118,10835,-3577.99,EUR,2023-10-04,Payment #118
t000119,9034,-1894.03,JPY,2025-04-18,Refund #119
t000120,7841,3898.65,CAD,2025-12-30,Transfer #120
t000121,2672,19872.52,USD,2025-06-05,Payment #121
t000122,9070,281.48,BRL,2025-04-12,Invoice #122
t000123,2552,19828.84,GBP,2023-07-12,Invoice #123
t000124,10772,6524.96,BRL,2024-12-22,Charge #124
t000125,3917,13621.16,MXN,2023-07-31,Charge #125
t000126,10777,2627.21,MXN,2024-03-22,Charge #126
t000127,10185,7677.91,CAD,2024-03-08,Adjustment #127
t000128,10667,11206.76,CNY,2023-04-20,Charge #128
t000129,9691,19450.74,EUR,2023-04-07,Payment #129
t000130,4395,11075.05,USD,2025-10-20,Payment #130
t000131,7980,19777.7,BRL,2024-01-22,Transfer #131
t000132,3814,-2127.02,GBP,2024-02-03,Charge #132
t000133,2975,15058.26,GBP,2023-06-07,Charge #133
t000134,9633,3235.57,CNY,2023-03-17,Payment #134
t000135,6087,12231.18,USD,2024-05-11,Charge #135
t000136,3677,10034.41,JPY,2025-01-30,Adjustment #136
t000137,6455,7588.05,BRL,2025-05-12,Invoice #137
t000138,10793,17926.73,CHF,2023-09-11,Invoice #138
t000139,8895,16265.28,GBP,2023-11-12,Invoice #139
t000140,6279,14429.89,BRL,2023-08-05,Charge #140
t000141,5462,-3256.5,CNY,2024-01-13,Refund #141
t000142,10137,17014.62,CAD,2024-06-04,Charge #142
t000143,7898,17450.76,CAD,2024-01-09,Transfer #143
t000144,4079,5145.4,USD,2023-09-06,Transfer #144
t000145,9881,4879.12,CNY,2024-06-18,Refund #145
t000146,5231,-2558.3,GBP,2024-05-30,Refund #146
t000147,4830,-2654.6,MXN,2024-03-21,Payment #147
t000148,10882,1059.04,AUD,2025-03-30,Adjustment #148
t000149,6533,14379.25,CNY,2023-04-05,Transfer #149
t000150,10620,5716.23,JPY,2025-01-12,Adjustment #150
t000151,9821,6620.35,JPY,2023-03-07,Adjustment #151
t000152,10919,16656.09,CAD,2025-08-01,Charge #152
t000153,4084,3215.55,CAD,2025-05-07,Charge #153
t000154,9327,-3390.7,GBP,2024-03-17,Adjustment #154
t000155,8709,-197.26,MXN,2025-07-16,Payment #155
t000156,8836,12310.26,CAD,2025-09-07,Transfer #156
t000157,4709,12665.31,USD,2024-01-05,Refund #157
t000158,3173,11261.41,EUR,2024-07-07,Payment #158
t000159,9606,16988.98,GBP,2023-05-06,Charge #159
t000160,5025,-379.31,GBP,2025-06-07,Refund #160
t000161,6056,17544.69,CAD,2023-07-24,Transfer #161
t000162,6080,2254.73,EUR,2024-08-30,Adjustment #162
t000163,5436,-1117.47,USD,2023-11-19,Transfer #163
t000164,5580,1116.27,BRL,2023-01-15,Transfer #164
t000165,10846,2691.26,MXN,2024-12-19,Transfer #165
t000166,2489,-2049.62,CHF,2025-05-22,Transfer #166
t000167,2068,19496.87,MXN,2024-07-15,Payment #167
t000168,10437,2125.18,JPY,2025-10-10,Refund #168
t000169,4153,10524.93,CNY,2023-05-14,Invoice #169
t000170,8659,-4026.71,JPY,2023-10-02,Refund #170
t000171,6322,19752.96,CNY,2023-04-25,Adjustment #171
t000172,3935,4638.59,CAD,2023-05-25,Payment #172
t000173,4271,2957.65,BRL,2024-07-01,Invoice #173
t000174,10469,9840.81,EUR,2023-03-14,Transfer #174
t000175,3860,1046.55,MXN,2025-02-20,Charge #175
t000176,10554,11599.13,MXN,2023-12-21,Invoice #176
t000177,10337,3674.35,GBP,2025-02-24,Payment #177
t000178,10318,1251.21,CAD,2024-01-28,Adjustment #178
t000179,1267,15894.37,GBP,2024-09-17,Invoice #179
t000180,5595,11342.63,EUR,2024-08-25,Payment #180
t000181,7203,5616.0,EUR,2025-11-15,Transfer #181
t000182,4078,1753.97,GBP,2024-02-17,Refund #182
t000183,9477,8469.95,GBP,2024-05-02,Refund #183
t000184,4420,6816.0,CAD,2025-12-14,Charge #184
t000185,8147,17563.25,JPY,2023-03-18,Adjustment #185
t000186,8122,14401.15,BRL,2024-08-12,Invoice #186
t000187,5658,1227.23,CHF,2023-12-28,Charge #187
t000188,3189,8862.13,BRL,2023-02-12,Charge #188
t000189,5408,105.06,USD,2024-12-12,Invoice #189
t000190,10166,10840.04,CHF,2025-02-03,Adjustment #190
t000191,5457,16978.45,AUD,2023-01-17,Invoice #191
t000192,10328,5673.0,CNY,2025-05-14,Refund #192
t000193,6354,238.23,CNY,2023-07-16,Charge #193
t000194,7634,3203.43,JPY,2025-07-26,Payment #194
t000195,10003,8075.84,USD,2023-03-19,Adjustment #195
t000196,10646,3505.57,EUR,2025-11-07,Charge #196
t000197,4478,18364.04,JPY,2025-04-03,Transfer #197
t000198,7182,7908.62,MXN,2025-05-30,Charge #198
t000199,10651,8472.35,CNY,2024-06-12,Charge #199
t000200,1269,5214.58,CAD,2025-07-26,Transfer #200
t000201,1365,16804.56,MXN,2023-04-16,Payment #201
t000202,5274,10530.64,CAD,2023-06-15,Payment #202
t000203,4521,14960.52,JPY,2025-07-06,Payment #203
t000204,6517,4804.72,BRL,2025-05-07,Charge #204
t000205,6338,-4998.71,BRL,2023-06-06,Adjustment #205
t000206,9277,5559.44,USD,2023-07-16,Charge #206
t000207,9052,11554.66,JPY,2024-01-06,Invoice #207
t000208,5655,12357.36,BRL,2025-06-09,Adjustment #208
t000209,9473,3191.66,JPY,2024-10-25,Payment #209
t000210,6491,14538.5,MXN,2024-04-14,Charge #210
t000211,6623,2771.67,EUR,2024-06-25,Invoice #211
t000212,10192,5865.84,AUD,2023-12-10,Refund #212
t000213,8303,-1890.71,USD,2023-09-24,Refund #213
t000214,1913,19508.44,GBP,2024-10-24,Transfer #214
t000215,9037,5695.81,EUR,2025-02-09,Refund #215
t000216,9425,19817.91,CAD,2025-04-22,Invoice #216
t000217,9476,11170.63,CNY,2024-05-15,Transfer #217
t000218,7672,16486.29,USD,2025-02-28,Invoice #218
t000219,6294,7803.72,GBP,2023-02-08,Transfer #219
t000220,2386,-4456.61,CAD,2023-10-17,Charge #220
t000221,10000,9452.64,CNY,2024-11-13,Payment #221
t000222,4415,-4961.66,JPY,2025-10-28,Refund #222
t000223,3416,17663.78,AUD,2025-07-30,Refund #223
t000224,9589,4401.2,AUD,2023-04-10,Invoice #224
t000225,7346,3188.7,EUR,2023-04-16,Invoice #225
t000226,7922,390.8,JPY,2024-07-30,Invoice #226
t000227,10751,1454.12,CHF,2025-02-12,Transfer #227
t000228,5008,815.73,CHF,2023-05-28,Transfer #228
t000229,3467,-95.59,BRL,2025-06-19,Transfer #229
t000230,7909,-2780.57,USD,2025-07-07,Invoice #230
t000231,3033,17147.72,JPY,2024-07-27,Refund #231
t000232,8553,6538.77,MXN,2023-12-21,Transfer #232
t000233,7775,17254.8,MXN,2024-05-16,Charge #233
t000234,8283,8454.57,USD,2025-11-09,Adjustment #234
t000235,10082,17870.75,CNY,2025-09-27,Charge #235
t000236,5342,14588.92,BRL,2024-07-12,Transfer #236
t000237,5700,11251.58,JPY,2025-10-25,Transfer #237
t000238,6477,-1541.57,BRL,2024-01-25,Charge #238
t000239,8532,14680.29,USD,2024-05-06,Charge #239
t000240,7379,6643.27,CHF,2025-08-31,Refund #240
t000241,1410,1628.46,EUR,2023-02-16,Charge #241
t000242,7902,6681.15,CAD,2024-09-23,Adjustment #242
t000243,8294,3768.31,JPY,2023-06-30,Payment #243
t000244,6196,13859.53,GBP,2024-03-01,Payment #244
t000245,10640,-3545.28,USD,2023-04-06,Adjustment #245
t000246,5551,13461.87,MXN,2025-02-02,Charge #246
t000247,6851,13149.31,EUR,2024-05-10,Transfer #247
t000248,5760,13058.79,BRL,2024-05-15,Adjustment #248
t000249,6465,11367.35,MXN,2025-01-18,Invoice #249
t000250,6603,18845.78,GBP,2023-09-24,Charge #250
t000251,8043,19596.33,USD,2023-03-17,Refund #251
t000252,8642,-4277.42,CNY,2023-06-11,Payment #252
t000253,1982,13390.31,JPY,2025-01-10,Charge #253
t000254,2275,-3033.39,CNY,2025-10-24,Adjustment #254
t000255,10693,13389.96,BRL,2023-06-14,Payment #255
t000256,9973,-2454.94,BRL,2025-10-25,Invoice #256
t000257,8338,14688.89,JPY,2025-04-02,Charge #257
t000258,2254,2798.97,JPY,2025-08-21,Charge #258
t000259,7965,18082.92,CHF,2025-04-16,Adjustment #259
t000260,8977,11723.24,JPY,2025-08-03,Transfer #260
t000261,10561,5290.22,MXN,2023-10-29,Transfer #261
t000262,1260,13509.35,EUR,2025-01-25,Charge #262
t000263,6622,19448.77,CNY,2025-02-06,Payment #263
t000264,9631,11047.6,CAD,2024-07-19,Transfer #264
t000265,3689,12534.59,GBP,2023-01-08,Transfer #265
t000266,3957,9356.29,EUR,2025-10-13,Charge #266
t000267,5683,16384.14,BRL,2024-07-23,Charge #267
t000268,4965,10578.54,MXN,2023-12-24,Invoice #268
t000269,2100,1334.42,BRL,2023-05-18,Invoice #269
t000270,2446,8298.35,MXN,2023-03-08,Refund #270
t000271,8939,2688.21,GBP,2024-03-12,Adjustment #271
t000272,10680,15950.21,JPY,2025-07-18,Transfer #272
t000273,9198,3489.6,JPY,2025-07-21,Refund #273
t000274,5956,15690.35,USD,2024-01-20,Refund #274
t000275,10924,1561.39,CAD,2023-02-04,Transfer #275
t000276,3728,17908.1,GBP,2025-10-30,Charge #276
t000277,4698,15957.57,CAD,2025-04-12,Charge #277
t000278,6081,18141.78,AUD,2025-09-08,Refund #278
t000279,2565,94.67,GBP,2025-01-20,Payment #279
t000280,9282,11857.9,USD,2023-10-17,Refund #280
t000281,9424,4347.2,JPY,2025-05-06,Refund #281
t000282,9758,15367.87,BRL,2024-03-06,Adjustment #282
t000283,9639,14395.5,BRL,2023-12-10,Transfer #283
t000284,2949,7223.98,CNY,2024-11-02,Refund #284
t000285,1949,15221.15,CHF,2024-09-13,Transfer #285
t000286,2245,17916.84,CHF,2025-02-07,Refund #286
t000287,6915,15191.28,CAD,2025-02-10,Charge #287
t000288,6656,13947.46,EUR,2024-03-16,Adjustment #288
t000289,4368,18561.6,CAD,2024-03-27,Refund #289
t000290,9725,14055.12,CNY,2023-07-07,Adjustment #290
t000291,1673,13308.49,GBP,2025-12-27,Payment #291
t000292,5231,16653.72,GBP,2024-06-14,Invoice #292
t000293,10941,19550.74,EUR,2024-09-30,Invoice #293
t000294,2685,12228.43,BRL,2025-08-06,Transfer #294
t000295,4968,19451.87,USD,2023-07-28,Invoice #295
t000296,2038,7875.26,EUR,2025-08-25,Invoice #296
t000297,5837,-2733.05,CAD,2024-08-28,Transfer #297
t000298,7580,-2796.97,GBP,2023-06-21,Refund #298
t000299,6839,4061.08,USD,2023-05-09,Refund #299
t000300,4662,-4025.21,USD,2024-09-21,Refund #300
t000301,1169,6244.51,CHF,2023-06-30,Transfer #301
t000302,2636,17342.58,CNY,2025-04-14,Refund #302
t000303,9996,2576.98,BRL,2024-10-16,Charge #303
t000304,7665,13535.56,MXN,2024-05-01,Transfer #304
t000305,6005,3138.41,JPY,2023-09-03,Adjustment #305
t000306,4011,9940.9,CAD,2023-10-17,Charge #306
t000307,10797,1672.52,EUR,2023-04-23,Charge #307
t000308,6027,12110.9,CNY,2023-07-30,Payment #308
t000309,7871,19292.47,MXN,2025-02-18,Transfer #309
t000310,2529,-4568.27,CHF,2023-09-29,Invoice #310
t000311,5097,-1650.06,CAD,2025-04-08,Adjustment #311
t000312,3317,5435.08,CHF,2023-09-15,Invoice #312
t000313,2372,10820.49,AUD,2024-12-29,Transfer #313
t000314,7589,-737.52,MXN,2025-02-20,Invoice #314
t000315,1500,8226.95,JPY,2025-10-13,Adjustment #315
t000316,2415,13643.88,USD,2024-12-08,Adjustment #316
t000317,4775,-1521.19,BRL,2025-10-05,Invoice #317
t000318,3174,8781.71,AUD,2023-04-11,Transfer #318
t000319,4298,-1052.48,USD,2023-04-06,Transfer #319
t000320,8591,17821.72,JPY,2024-11-26,Adjustment #320
t000321,9083,13375.4,JPY,2024-01-27,Adjustment #321
t000322,8588,18481.89,EUR,2024-12-17,Payment #322
t000323,5838,3366.93,USD,2024-11-09,Transfer #323
t000324,9385,17114.6,USD,2023-10-29,Transfer #324
t000325,9455,4985.84,MXN,2023-03-31,Refund #325
t000326,10051,-4283.0,EUR,2024-06-20,Payment #326
t000327,7857,14579.39,JPY,2025-09-04,Refund #327
t000328,8392,18865.48,MXN,2024-11-29,Payment #328
t000329,10496,-4417.66,CAD,2025-10-26,Transfer #329
t000330,10576,7626.49,MXN,2025-03-14,Transfer #330
t000331,5254,105.94,CAD,2025-03-07,Refund #331
t000332,6807,5785.38,EUR,2024-03-27,Adjustment #332
t000333,10157,7303.42,CHF,2025-11-11,Charge #333
t000334,7241,3689.87,CNY,2024-05-01,Payment #334
t000335,4376,4733.82,USD,2025-05-03,Transfer #335
t000336,3097,17126.23,EUR,2023-02-17,Payment #336
t000337,2601,14984.11,GBP,2025-02-21,Payment #337
t000338,5579,7049.86,CNY,2024-07-21,Transfer #338
t000339,8328,17563.77,CAD,2023-02-01,Invoice #339
t000340,9339,-4583.09,BRL,2023-09-06,Transfer #340
t000341,5201,16420.95,CHF,2024-10-22,Transfer #341
t000342,5029,9002.99,CNY,2024-08-16,Refund #342
t000343,2203,9728.03,CAD,2024-06-15,Charge #343
t000344,10231,13276.92,BRL,2024-04-22,Refund #344
t000345,8218,-1796.35,GBP,2025-01-04,Payment #345
t000346,7699,6855.8,USD,2024-11-09,Transfer #346
t000347,4622,-1847.64,MXN,2025-10-07,Payment #347
t000348,10120,1396.19,CHF,2025-11-24,Charge #348
t000349,9663,13705.37,MXN,2024-11-10,Charge #349
t000350,3446,9825.03,EUR,2025-01-22,Transfer #350
t000351,9763,11588.74,EUR,2025-12-12,Invoice #351
t000352,9791,17526.75,CAD,2025-12-15,Invoice #352
t000353,3528,1136.73,GBP,2023-03-27,Charge #353
t000354,9356,7855.98,MXN,2024-09-02,Transfer #354
t000355,7921,7123.96,MXN,2025-10-11,Adjustment #355
t000356,1303,10270.3,MXN,2024-07-24,Refund #356
t000357,10039,470.27,JPY,2024-07-28,Adjustment #357
t000358,6333,15773.77,AUD,2024-11-16,Invoice #358
t000359,2301,776.28,GBP,2023-06-16,Charge #359
t000360,6282,17430.58,BRL,2023-11-21,Adjustment #360
t000361,9005,1863.45,AUD,2024-07-20,Payment #361
t000362,2055,12643.85,JPY,2025-12-14,Charge #362
t000363,3564,5713.56,BRL,2023-09-04,Transfer #363
t000364,2931,14747.72,CNY,2025-10-06,Charge #364
t000365,5214,3366.13,JPY,2025-04-12,Refund #365
t000366,6215,-3201.46,BRL,2025-06-11,Refund #366
t000367,2829,10284.43,AUD,2025-12-20,Adjustment #367
t000368,7993,939.57,USD,2023-04-13,Adjustment #368
t000369,4385,3774.06,CHF,2024-01-12,Payment #369
t000370,2807,4900.06,GBP,2023-03-19,Payment #370
t000371,6363,9390.18,EUR,2023-12-20,Refund #371
t000372,3369,-1843.68,JPY,2024-03-16,Refund #372
t000373,10834,-815.18,MXN,2025-04-20,Adjustment #373
t000374,1800,9193.14,CHF,2024-06-04,Charge #374
t000375,1808,18872.94,CHF,2023-03-10,Refund #375
t000376,1133,14840.85,GBP,2024-09-06,Adjustment #376
t000377,1083,-3200.26,BRL,2024-03-24,Charge #377
t000378,4966,4368.2,CHF,2025-03-28,Charge #378
t000379,8963,-2391.83,BRL,2024-10-30,Refund #379
t000380,5466,5420.72,USD,2024-12-07,Invoice #380
t000381,10598,-1143.97,MXN,2023-03-25,Adjustment #381
t000382,8167,7113.89,JPY,2025-04-05,Transfer #382
t000383,3258,7394.32,USD,2024-11-12,Transfer #383
t000384,4379,4877.19,JPY,2023-05-09,Payment #384
t000385,10819,12271.85,CHF,2024-12-15,Charge #385
t000386,8282,13472.15,EUR,2025-10-23,Refund #386
t000387,1698,-732.19,CAD,2025-01-01,Refund #387
t000388,4564,8927.07,USD,2025-10-15,Charge #388
t000389,6574,16868.8,CHF,2023-10-12,Payment #389
t000390,3601,4656.93,MXN,2024-06-16,Invoice #390
t000391,10951,4269.51,AUD,2025-11-14,Refund #391
t000392,5728,13709.71,USD,2025-07-02,Adjustment #392
t000393,10987,14419.04,USD,2025-09-11,Refund #393
t000394,2347,11657.59,CNY,2023-07-24,Adjustment #394
t000395,9272,-3383.15,AUD,2025-02-06,Refund #395
t000396,2123,-1170.58,JPY,2024-09-04,Payment #396
t000397,6027,10100.38,EUR,2024-11-25,Invoice #397
t000398,2644,5736.1,JPY,2023-12-31,Adjustment #398
t000399,5007,7933.73,BRL,2025-09-01,Refund #399
t000400,8209,6123.53,BRL,2025-02-15,Refund #400
t000401,10542,17447.26,AUD,2023-02-08,Refund #401
t000402,6344,2574.81,CNY,2024-06-23,Transfer #402
t000403,4445,10966.18,JPY,2024-03-31,Charge #403
t000404,9799,6768.77,AUD,2023-07-28,Refund #404
t000405,7727,15017.58,EUR,2023-10-16,Transfer #405
t000406,1044,15751.71,JPY,2023-04-21,Charge #406
t000407,7635,18665.22,GBP,2024-09-03,Payment #407
t000408,6666,262.73,CNY,2025-08-07,Charge #408
t000409,3048,19852.73,USD,2023-08-13,Payment #409
t000410,6457,11086.23,AUD,2025-07-20,Invoice #410
t000411,5715,10364.04,JPY,2024-05-07,Transfer #411
t000412,2176,15466.18,JPY,2025-09-17,Invoice #412
t000413,3834,3809.94,BRL,2025-08-17,Adjustment #413
t000414,6518,5032.27,CAD,2024-04-02,Refund #414
t000415,5430,11203.94,AUD,2024-09-24,Payment #415
t000416,7448,8349.18,BRL,2025-08-15,Invoice #416
t000417,6146,-1208.78,EUR,2025-01-21,Refund #417
t000418,6727,8817.19,CNY,2024-12-05,Charge #418
t000419,10795,2535.3,AUD,2025-01-11,Adjustment #419
t000420,2602,11340.53,MXN,2023-04-01,Invoice #420
t000421,9699,14335.31,JPY,2023-08-29,Invoice #421
t000422,7727,-808.89,GBP,2024-09-10,Charge #422
t000423,1031,2514.58,AUD,2023-07-28,Refund #423
t000424,7561,15171.59,AUD,2023-07-16,Refund #424
t000425,9073,11736.02,AUD,2024-05-17,Refund #425
t000426,3040,8899.28,BRL,2024-11-27,Payment #426
t000427,9491,12821.7,AUD,2024-08-03,Refund #427
t000428,7594,-4073.01,AUD,2023-02-22,Invoice #428
t000429,10970,15616.14,CAD,2023-02-09,Payment #429
t000430,8539,3698.37,USD,2023-03-22,Payment #430
t000431,8182,13742.62,MXN,2025-07-31,Adjustment #431
t000432,5419,9365.6,AUD,2025-06-04,Transfer #432
t000433,10788,-547.55,CHF,2024-10-02,Refund #433
t000434,2604,4946.71,EUR,2023-08-13,Transfer #434
t000435,6983,9457.52,GBP,2025-05-18,Charge #435
t000436,7584,11921.4,BRL,2024-02-10,Charge #436
t000437,8976,19996.43,BRL,2024-12-30,Transfer #437
t000438,9638,9858.66,USD,2025-09-28,Payment #438
t000439,8446,-1797.82,CHF,2024-03-15,Refund #439
t000440,2399,19175.97,GBP,2024-12-08,Payment #440
t000441,4177,10302.29,CAD,2024-07-11,Invoice #441
t000442,1773,10090.03,JPY,2023-12-04,Charge #442
t000443,6076,19389.52,GBP,2025-06-04,Charge #443
t000444,4687,2841.21,CNY,2025-04-27,Charge #444
t000445,2025,18767.35,JPY,2025-12-01,Payment #445
t000446,4212,12589.84,USD,2023-04-16,Charge #446
t000447,4741,15114.82,MXN,2025-01-17,Adjustment #447
t000448,3513,4745.8,USD,2025-11-17,Invoice #448
t000449,6615,-463.13,MXN,2024-04-30,Transfer #449
t000450,8715,15244.45,JPY,2023-05-20,Invoice #450
t000451,9300,16599.58,CHF,2025-03-10,Charge #451
t000452,10557,-2407.84,EUR,2023-09-21,Invoice #452
t000453,3724,-3111.03,EUR,2024-10-22,Invoice #453
t000454,7187,-2934.79,CAD,2025-09-28,Transfer #454
t000455,9955,9190.22,EUR,2024-11-13,Adjustment #455
t000456,6016,4857.86,BRL,2025-07-13,Refund #456
t000457,5471,4438.56,BRL,2024-03-15,Invoice #457
t000458,7141,12161.02,BRL,2024-07-27,Refund #458
t000459,2252,-2265.61,CAD,2025-12-26,Transfer #459
t000460,6614,-2866.8,MXN,2025-07-10,Invoice #460
t000461,9376,19159.28,BRL,2023-10-23,Payment #461
t000462,4377,8815.42,CHF,2023-07-25,Transfer #462
t000463,10718,409.69,MXN,2025-11-16,Refund #463
t000464,2634,8426.45,JPY,2025-10-14,Payment #464
t000465,5263,4550.05,EUR,2023-12-06,Payment #465
t000466,2221,1525.89,CHF,2024-05-14,Invoice #466
t000467,4981,3091.08,USD,2023-07-19,Payment #467
t000468,4025,6072.9,CHF,2024-02-29,Charge #468
t000469,1188,-110.12,CHF,2025-09-13,Charge #469
t000470,5770,6717.82,AUD,2023-04-05,Transfer #470
t000471,10389,-4735.82,MXN,2025-09-16,Charge #471
