vendor_id,name,country
v00132,Vendor 132,FR
v00133,Vendor 133,US
v00134,Vendor 134,DE
v00135,Vendor 135,FR
v00136,Vendor 136,CA
v00137,Vendor 137,JP
v00138,Vendor 138,CN
v00139,Vendor 139,MX
v00140,Vendor 140,BR
v00141,Vendor 141,JP
v00142,Vendor 142,GB
v00143,Vendor 143,CN
v00144,Vendor 144,CN
v00145,Vendor 145,MX
v00146,Vendor 146,DE
v00147,Vendor 147,FR
v00148,Vendor 148,DE
v00149,Vendor 149,US
v00150,Vendor 150,JP
v00151,Vendor 151,AU
v00152,Vendor 152,FR
v00153,Vendor 153,BR
v00154,Vendor 154,GB
v00155,Vendor 155,CA
v00156,Vendor 156,AU
v00157,Vendor 157,FR
v00158,Vendor 158,GB
v00159,Vendor 159,AU
v00160,Vendor 160,FR
v00161,Vendor 161,FR
v00162,Vendor 162,CN
v00163,Vendor 163,MX
v00164,Vendor 164,GB
v00165,Vendor 165,AU
v00166,Vendor 166,FR
v00167,Vendor 167,CA
v00168,Vendor 168,GB
v00169,Vendor 169,JP
v00170,Vendor 170,CN
v00171,Vendor 171,GB
v00172,Vendor 172,BR
v00173,Vendor 173,US
v00174,Vendor 174,JP
v00175,Vendor 175,CA
v00176,Vendor 176,BR
v00177,Vendor 177,CN
v00178,Vendor 178,DE
v00179,Vendor 179,US
v00180,Vendor 180,FR
v00181,Vendor 181,BR
v00182,Vendor 182,BR
v00183,Vendor 183,DE
v00184,Vendor 184,AU
v00185,Vendor 185,MX
v00186,Vendor 186,FR
v00187,Vendor 187,GB
v00188,Vendor 188,CN
v00189,Vendor 189,CN
v00190,Vendor 190,BR
v00191,Vendor 191,CA
v00192,Vendor 192,CN
v00193,Vendor 193,AU
v00194,Vendor 194,MX
v00195,Vendor 195,GB
v00196,Vendor 196,CN
v00197,Vendor 197,FR
v00198,Vendor 198,CN
v00199,Vendor 199,CN
v00200,Vendor 200,MX
v00201,Vendor 201,AU
v00202,Vendor 202,CA
v00203,Vendor 203,FR
v00204,Vendor 204,BR
v00205,Vendor 205,GB
v00206,Vendor 206,FR
v00207,Vendor 207,JP
v00208,Vendor 208,BR
v00209,Vendor 209,CN
v00210,Vendor 210,JP
v00211,Vendor 211,AU
v00212,Vendor 212,AU
v00213,Vendor 213,US
v00214,Vendor 214,FR
v00215,Vendor 215,CA
v00216,Vendor 216,AU
v00217,Vendor 217,US
v00218,Vendor 218,US
v00219,Vendor 219,GB
v00220,Vendor 220,US
v00221,Vendor 221,MX
v00222,Vendor 222,US
v00223,Vendor 223,AU
v00224,Vendor 224,MX
v00225,Vendor 225,DE
v00226,Vendor 226,AU
v00227,Vendor 227,BR
v00228,Vendor 228,MX
v00229,Vendor 229,FR
v00230,Vendor 230,US
v00231,Vendor 231,MX
v00232,Vendor 232,MX
v00233,Vendor 233,JP
v00234,Vendor 234,FR
v00235,Vendor 235,CA
v00236,Vendor 236,DE
v00237,Vendor 237,BR
v00238,Vendor 238,MX
v00239,Vendor 239,CA
v00240,Vendor 240,GB
v00241,Vendor 241,DE
v00242,Vendor 242,CN
v00243,Vendor 243,CN
v00244,Vendor 244,US
v00245,Vendor 245,FR
v00246,Vendor 246,DE
v00247,Vendor 247,CA
v00248,Vendor 248,BR
v00249,Vendor 249,DE
v00250,Vendor 250,GB
v00251,Vendor 251,GB
v00252,Vendor 252,JP
v00253,Vendor 253,BR
v00254,Vendor 254,GB
v00255,Vendor 255,US
v00256,Vendor 256,AU
v00257,Vendor 257,US
v00258,Vendor 258,FR
v00259,Vendor 259,DE
v00260,Vendor 260,CA
v00261,Vendor 261,MX
v00262,Vendor 262,GB
v00263,Vendor 263,GB
v00264,Vendor 264,CA
v00265,Vendor 265,AU
v00266,Vendor 266,FR
v00267,Vendor 267,FR
v00268,Vendor 268,US
v00269,Vendor 269,JP
v00270,Vendor 270,JP
v00271,Vendor 271,US
v00272,Vendor 272,CN
v00273,Vendor 273,BR
v00274,Vendor 274,GB
v00275,Vendor 275,AU
v00276,Vendor 276,CN
v00277,Vendor 277,AU
v00278,Vendor 278,CN
v00279,Vendor 279,CA
v00280,Vendor 280,CN
v00281,Vendor 281,CN
v00282,Vendor 282,CA
v00283,Vendor 283,FR
v00284,Vendor 284,JP
v00285,Vendor 285,CN
v00286,Vendor 286,BR
v00287,Vendor 287,US
v00288,Vendor 288,GB
v00289,Vendor 289,US
v00290,Vendor 290,JP
v00291,Vendor 291,GB
v00292,Vendor 292,FR
v00293,Vendor 293,CN
v00294,Vendor 294,US
v00295,Vendor 295,MX
v00296,Vendor 296,DE
v00297,Vendor 297,AU
v00298,Vendor 298,BR
v00299,Vendor 299,FR
v00300,Vendor 300,FR
v00301,Vendor 301,GB
v00302,Vendor 302,CN
v00303,Vendor 303,FR
v00304,Vendor 304,AU
v00305,Vendor 305,CN
v00306,Vendor 306,AU
v00307,Vendor 307,MX
v00308,Vendor 308,AU
v00309,Vendor 309,FR
v00310,Vendor 310,AU
v00311,Vendor 311,CN
v00312,Vendor 312,JP
v00313,Vendor 313,GB
v00314,Vendor 314,CN
v00315,Vendor 315,FR
v00316,Vendor 316,AU
v00317,Vendor 317,GB
v00318,Vendor 318,US
v00319,Vendor 319,DE
v00320,Vendor 320,DE
v00321,Vendor 321,AU
v00322,Vendor 322,GB
v00323,Vendor 323,DE
v00324,Vendor 324,CA
v00325,Vendor 325,US
v00326,Vendor 326,US
v00327,Vendor 327,AU
v00328,Vendor 328,BR
v00329,Vendor 329,AU
v00330,Vendor 330,BR
v00331,Vendor 331,CA
v00332,Vendor 332,JP
v00333,Vendor 333,DE
v00334,Vendor 334,MX
v00335,Vendor 335,FR
v00336,Vendor 336,CA
v00337,Vendor 337,DE
v00338,Vendor 338,US
v00339,Vendor 339,US
v00340,Vendor 340,JP
v00341,Vendor 341,US
v00342,Vendor 342,FR
v00343,Vendor 343,CA
v00344,Vendor 344,MX
v00345,Vendor 345,AU
v00346,Vendor 346,CN
v00347,Vendor 347,CN
v00348,Vendor 348,FR
v00349,Vendor 349,MX
v00350,Vendor 350,FR
v00351,Vendor 351,DE
v00352,Vendor 352,MX
v00353,Vendor 353,FR
v00354,Vendor 354,BR
v00355,Vendor 355,US
v00356,Vendor 356,CN
v00357,Vendor 357,AU
v00358,Vendor 358,GB
v00359,Vendor 359,DE
v00360,Vendor 360,DE
v00361,Vendor 361,AU
v00362,Vendor 362,CA
v00363,Vendor 363,FR
v00364,Vendor 364,JP
v00365,Vendor 365,CA
v00366,Vendor 366,CA
v00367,Vendor 367,CA
v00368,Vendor 368,AU
v00369,Vendor 369,AU
v00370,Vendor 370,GB
v00371,Vendor 371,BR
v00372,Vendor 372,GB
v00373,Vendor 373,CN
v00374,Vendor 374,AU
v00375,Vendor 375,GB
v00376,Vendor 376,BR
v00377,Vendor 377,CA
v00378,Vendor 378,GB
v00379,Vendor 379,FR
v00380,Vendor 380,FR
v00381,Vendor 381,GB
v00382,Vendor 382,CN
v00383,Vendor 383,AU
v00384,Vendor 384,FR
v00385,Vendor 385,FR
v00386,Vendor 386,JP
v00387,Vendor 387,FR
v00388,Vendor 388,CA
v00389,Vendor 389,DE
v00390,Vendor 390,FR
v00391,Vendor 391,GB
v00392,Vendor 392,BR
v00393,Vendor 393,CA
v00394,Vendor 394,GB
v00395,Vendor 395,DE
v00396,Vendor 396,FR
v00397,Vendor 397,DE
v00398,Vendor 398,JP
v00399,Vendor 399,JP
v00400,Vendor 400,DE
v00401,Vendor 401,CN
v00402,Vendor 402,CA
v00403,Vendor 403,AU
v00404,Vendor 404,JP
v00405,Vendor 405,GB
v00406,Vendor 406,DE
v00407,Vendor 407,MX
v00408,Vendor 408,MX
v00409,Vendor 409,CN
v00410,Vendor 410,AU
v00411,Vendor 411,CA
v00412,Vendor 412,FR
v00413,Vendor 413,BR
v00414,Vendor 414,MX
v00415,Vendor 415,DE
v00416,Vendor 416,GB
v00417,Vendor 417,FR
v00418,Vendor 418,FR
v00419,Vendor 419,BR
v00420,Vendor 420,BR
v00421,Vendor 421,FR
v00422,Vendor 422,DE
v00423,Vendor 423,GB
v00424,Vendor 424,CA
v00425,Vendor 425,US
v00426,Vendor 426,FR
v00427,Vendor 427,DE
v00428,Vendor 428,AU
v00429,Vendor 429,AU
v00430,Vendor 430,DE
v00431,Vendor 431,MX
v00432,Vendor 432,CA
v00433,Vendor 433,CA
v00434,Vendor 434,FR
v00435,Vendor 435,BR
v00436,Vendor 436,BR
v00437,Vendor 437,US
v00438,Vendor 438,BR
v00439,Vendor 439,BR
v00440,Vendor 440,GB
v00441,Vendor 441,BR
v00442,Vendor 442,JP
v00443,Vendor 443,FR
v00444,Vendor 444,JP
v00445,Vendor 445,JP
v00446,Vendor 446,GB
v00447,Vendor 447,FR
v00448,Vendor 448,BR
v00449,Vendor 449,DE
v00450,Vendor 450,AU
v00451,Vendor 451,US
v00452,Vendor 452,FR
v00453,Vendor 453,CA
v00454,Vendor 454,US
v00455,Vendor 455,US
v00456,Vendor 456,BR
v00457,Vendor 457,GB
v00458,Vendor 458,US
v00459,Vendor 459,US
v00460,Vendor 460,DE
v00461,Vendor 461,CN
v00462,Vendor 462,GB
v00463,Vendor 463,CN
v00464,Vendor 464,CN
v00465,Vendor 465,FR
v00466,Vendor 466,CA
v00467,Vendor 467,CA
v00468,Vendor 468,CN
v00469,Vendor 469,CA
v00470,Vendor 470,US
v00471,Vendor 471,JP
v00472,Vendor 472,AU
v00473,Vendor 473,CN
v00474,Vendor 474,FR
v00475,Vendor 475,JP
v00476,Vendor 476,JP
v00477,Vendor 477,CN
v00478,Vendor 478,BR
v00479,Vendor 479,MX
v00480,Vendor 480,US
v00481,Vendor 481,BR
v00482,Vendor 482,AU
v00483,Vendor 483,AU
v00484,Vendor 484,DE
v00485,Vendor 485,JP
v00486,Vendor 486,CA
v00487,Vendor 487,GB
v00488,Vendor 488,JP
v00489,Vendor 489,BR
v00490,Vendor 490,FR
v00491,Vendor 491,GB
v00492,Vendor 492,BR
v00493,Vendor 493,FR
v00494,Vendor 494,US
v00495,Vendor 495,BR
v00496,Vendor 496,US
v00497,Vendor 497,BR
v00498,Vendor 498,CA
v00499,Vendor 499,MX
v00500,Vendor 500,CN
v00501,Vendor 501,GB
v00502,Vendor 502,MX
v00503,Vendor 503,JP
v00504,Vendor 504,DE
v00505,Vendor 505,MX
v00506,Vendor 506,FR
v00507,Vendor 507,DE
v00508,Vendor 508,AU
v00509,Vendor 509,FR
v00510,Vendor 510,CN
v00511,Vendor 511,CA
v00512,Vendor 512,JP
v00513,Vendor 513,CN
v00514,Vendor 514,DE
v00515,Vendor 515,BR
v00516,Vendor 516,DE
v00517,Vendor 517,GB
v00518,Vendor 518,CN
v00519,Vendor 519,BR
v00520,Vendor 520,GB
v00521,Vendor 521,BR
v00522,Vendor 522,US
v00523,Vendor 523,CN
v00524,Vendor 524,MX
v00525,Vendor 525,CN
v00526,Vendor 526,DE
v00527,Vendor 527,GB
v00528,Vendor 528,DE
v00529,Vendor 529,GB
v00530,Vendor 530,CA
v00531,Vendor 531,CA
v00532,Vendor 532,FR
v00533,Vendor 533,GB
v00534,Vendor 534,GB
v00535,Vendor 535,DE
v00536,Vendor 536,GB
v00537,Vendor 537,JP
v00538,Vendor 538,DE
v00539,Vendor 539,BR
v00540,Vendor 540,MX
v00541,Vendor 541,US
v00542,Vendor 542,US
v00543,Vendor 543,BR
v00544,Vendor 544,MX
v00545,Vendor 545,BR
v00546,Vendor 546,JP
v00547,Vendor 547,GB
v00548,Vendor 548,CN
v00549,Vendor 549,AU
v00550,Vendor 550,JP
v00551,Vendor 551,AU
v00552,Vendor 552,US
v00553,Vendor 553,JP
v00554,Vendor 554,JP
v00555,Vendor 555,FR
v00556,Vendor 556,MX
v00557,Vendor 557,MX
v00558,Vendor 558,GB
v00559,Vendor 559,BR
v00560,Vendor 560,JP
v00561,Vendor 561,BR
v00562,Vendor 562,CA
v00563,Vendor 563,MX
v00564,Vendor 564,CN
v00565,Vendor 565,CN
v00566,Vendor 566,FR
v00567,Vendor 567,BR
v00568,Vendor 568,US
v00569,Vendor 569,JP
v00570,Vendor 570,DE
v00571,Vendor 571,CA
v00572,Vendor 572,CN
v00573,Vendor 573,CA
v00574,Vendor 574,US
v00575,Vendor 575,AU
v00576,Vendor 576,FR
v00577,Vendor 577,MX
v00578,Vendor 578,CA
v00579,Vendor 579,GB
v00580,Vendor 580,DE
v00581,Vendor 581,MX
v00582,Vendor 582,CA
v00583,Vendor 583,FR
v00584,Vendor 584,AU
v00585,Vendor 585,MX
v00586,Vendor 586,DE
v00587,Vendor 587,CN
v00588,Vendor 588,CN
v00589,Vendor 589,BR
v00590,Vendor 590,GB
v00591,Vendor 591,AU
v00592,Vendor 592,MX
v00593,Vendor 593,DE
v00594,Vendor 594,MX
v00595,Vendor 595,GB
v00596,Vendor 596,CA
v00597,Vendor 597,CA
v00598,Vendor 598,US
v00599,Vendor 599,CN
v00600,Vendor 600,US
v00601,Vendor 601,FR
v00602,Vendor 602,JP
v00603,Vendor 603,JP
v00604,Vendor 604,CN
v00605,Vendor 605,GB
v00606,Vendor 606,CN
v00607,Vendor 607,US
v00608,Vendor 608,FR
v00609,Vendor 609,DE
v00610,Vendor 610,BR
v00611,Vendor 611,GB
v00612,Vendor 612,GB
v00613,Vendor 613,GB
v00614,Vendor 614,DE
v00615,Vendor 615,GB
v00616,Vendor 616,GB
v00617,Vendor 617,FR
v00618,Vendor 618,CA
v00619,Vendor 619,CN
v00620,Vendor 620,MX
v00621,Vendor 621,CN
v00622,Vendor 622,DE
v00623,Vendor 623,US
v00624,Vendor 624,JP
v00625,Vendor 625,AU
v00626,Vendor 626,AU
v00627,Vendor 627,MX
v00628,Vendor 628,JP
v00629,Vendor 629,CN
v00630,Vendor 630,US
v00631,Vendor 631,CA
v00632,Vendor 632,DE
v00633,Vendor 633,MX
v00634,Vendor 634,AU
v00635,Vendor 635,US
v00636,Vendor 636,BR
v00637,Vendor 637,CN
v00638,Vendor 638,JP
v00639,Vendor 639,CN
v00640,Vendor 640,CN
v00641,Vendor 641,GB
v00642,Vendor 642,CN
v00643,Vendor 643,FR
v00644,Vendor 644,AU
v00645,Vendor 645,AU
v00646,Vendor 646,AU
v00647,Vendor 647,FR
v00648,Vendor 648,AU
v00649,Vendor 649,CN
v00650,Vendor 650,CN
v00651,Vendor 651,BR
v00652,Vendor 652,AU
v00653,Vendor 653,CA
v00654,Vendor 654,GB
v00655,Vendor 655,DE
v00656,Vendor 656,JP
v00657,Vendor 657,AU
v00658,Vendor 658,BR
v00659,Vendor 659,JP
v00660,Vendor 660,US
v00661,Vendor 661,GB
v00662,Vendor 662,JP
v00663,Vendor 663,BR
v00664,Vendor 664,GB
v00665,Vendor 665,FR
v00666,Vendor 666,MX
v00667,Vendor 667,CA
v00668,Vendor 668,US
v00669,Vendor 669,AU
v00670,Vendor 670,CN
v00671,Vendor 671,FR
v00672,Vendor 672,GB
v00673,Vendor 673,BR
v00674,Vendor 674,GB
v00675,Vendor 675,BR
v00676,Vendor 676,MX
v00677,Vendor 677,CN
v00678,Vendor 678,MX
v00679,Vendor 679,AU
v00680,Vendor 680,JP
v00681,Vendor 681,BR
v00682,Vendor 682,CN
v00683,Vendor 683,MX
v00684,Vendor 684,MX
v00685,Vendor 685,AU
v00686,Vendor 686,US
v00687,Vendor 687,BR
v00688,Vendor 688,US
v00689,Vendor 689,CN
v00690,Vendor 690,JP
v00691,Vendor 691,CA
v00692,Vendor 692,FR
v00693,Vendor 693,BR
v00694,Vendor 694,AU
v00695,Vendor 695,MX
v00696,Vendor 696,BR
v00697,Vendor 697,CN
v00698,Vendor 698,CN
v00699,Vendor 699,CA
v00700,Vendor 700,AU
v00701,Vendor 701,CN
v00702,Vendor 702,MX
v00703,Vendor 703,BR
v00704,Vendor 704,BR
v00705,Vendor 705,US
v00706,Vendor 706,CA
v00707,Vendor 707,US
v00708,Vendor 708,CA
v00709,Vendor 709,BR
v00710,Vendor 710,MX
v00711,Vendor 711,BR
v00712,Vendor 712,CA
v00713,Vendor 713,CA
v00714,Vendor 714,US
v00715,Vendor 715,CN
v00716,Vendor 716,FR
v00717,Vendor 717,JP
v00718,Vendor 718,FR
v00719,Vendor 719,FR
v00720,Vendor 720,US
v00721,Vendor 721,CA
v00722,Vendor 722,CA
v00723,Vendor 723,CN
v00724,Vendor 724,AU
v00725,Vendor 725,CN
v00726,Vendor 726,JP
v00727,Vendor 727,FR
v00728,Vendor 728,US
v00729,Vendor 729,CA
v00730,Vendor 730,CN
v00731,Vendor 731,US
v00732,Vendor 732,GB
v00733,Vendor 733,MX
v00734,Vendor 734,DE
v00735,Vendor 735,FR
v00736,Vendor 736,US
v00737,Vendor 737,GB
v00738,Vendor 738,CA
v00739,Vendor 739,MX
v00740,Vendor 740,CN
v00741,Vendor 741,GB
v00742,Vendor 742,DE
v00743,Vendor 743,MX
v00744,Vendor 744,US
v00745,Vendor 745,AU
v00746,Vendor 746,CN
v00747,Vendor 747,CA
v00748,Vendor 748,JP
v00749,Vendor 749,GB
v00750,Vendor 750,FR
v00751,Vendor 751,CN
v00752,Vendor 752,BR
v00753,Vendor 753,MX
v00754,Vendor 754,DE
v00755,Vendor 755,GB
v00756,Vendor 756,FR
v00757,Vendor 757,AU
v00758,Vendor 758,DE
v00759,Vendor 759,US
v00760,Vendor 760,CA
v00761,Vendor 761,CA
v00762,Vendor 762,MX
v00763,Vendor 763,CA
v00764,Vendor 764,JP
v00765,Vendor 765,FR
v00766,Vendor 766,BR
v00767,Vendor 767,CA
v00768,Vendor 768,DE
v00769,Vendor 769,GB
v00770,Vendor 770,DE
v00771,Vendor 771,AU
v00772,Vendor 772,FR
v00773,Vendor 773,JP
v00774,Vendor 774,US
v00775,Vendor 775,DE
v00776,Vendor 776,CA
v00777,Vendor 777 – São_Paulo,CA
v00778,Vendor 778,FR
v00779,Vendor 779,FR
v00780,Vendor 780,FR
v00781,Vendor 781,FR
v00782,Vendor 782,GB
v00783,Vendor 783,US
v00784,Vendor 784,US
v00785,Vendor 785,CA
v00786,Vendor 786,FR
v00787,Vendor 787,DE
v00788,Vendor 788,GB
v00789,Vendor 789,US
v00790,Vendor 790,US
v00791,Vendor 791,MX
v00792,Vendor 792,GB
v00793,Vendor 793,CA
v00794,Vendor 794,JP
v00795,Vendor 795,CN
v00796,Vendor 796,DE
v00797,Vendor 797,US
v00798,Vendor 798,FR
v00799,Vendor 799,AU
v00800,Vendor 800,AU
v00801,Vendor 801,GB
v00802,Vendor 802,AU
v00803,Vendor 803,JP
v00804,Vendor 804,CA
v00805,Vendor 805,CN
v00806,Vendor 806,AU
v00807,Vendor 807,CA
v00808,Vendor 808,DE
v00809,Vendor 809,CN
v00810,Vendor 810,MX
v00811,Vendor 811,FR
v00812,Vendor 812,FR
v00813,Vendor 813,CN
v00814,Vendor 814,MX
v00815,Vendor 815,GB
v00816,Vendor 816,CN
v00817,Vendor 817,BR
v00818,Vendor 818,FR
v00819,Vendor 819,CN
v00820,Vendor 820,AU
v00821,Vendor 821,AU
v00822,Vendor 822,AU
v00823,Vendor 823,FR
v00824,Vendor 824,BR
v00825,Vendor 825,FR
v00826,Vendor 826,AU
v00827,Vendor 827,JP
v00828,Vendor 828,CA
v00829,Vendor 829,CN
v00830,Vendor 830,MX
v00831,Vendor 831,CN
v00832,Vendor 832,FR
v00833,Vendor 833,CN
v00834,Vendor 834,CN
v00835,Vendor 835,CN
v00836,Vendor 836,AU
v00837,Vendor 837,US
v00838,Vendor 838,JP
v00839,Vendor 839,CN
v00840,Vendor 840,JP
v00841,Vendor 841,AU
v00842,Vendor 842,US
v00843,Vendor 843,DE
v00844,Vendor 844,CA
v00845,Vendor 845,DE
v00846,Vendor 846,AU
v00847,Vendor 847,FR
v00848,Vendor 848,BR
v00849,Vendor 849,DE
v00850,Vendor 850,JP
v00851,Vendor 851,US
v00852,Vendor 852,AU
v00853,Vendor 853,JP
v00854,Vendor 854,FR
v00855,Vendor 855,CA
v00856,Vendor 856,AU
v00857,Vendor 857,MX
v00858,Vendor 858,BR
v00859,Vendor 859,CA
v00860,Vendor 860,US
v00861,Vendor 861,BR
v00862,Vendor 862,FR
v00863,Vendor 863,DE
v00864,Vendor 864,JP
v00865,Vendor 865,CN
v00866,Vendor 866,AU
v00867,Vendor 867,CN
v00868,Vendor 868,BR
v00869,Vendor 869,FR
v00870,Vendor 870,CA
v00871,Vendor 871,GB
v00872,Vendor 872,US
v00873,Vendor 873,CN
v00874,Vendor 874,CA
v00875,Vendor 875,AU
v00876,Vendor 876,DE
v00877,Vendor 877,BR
v00878,Vendor 878,US
v00879,Vendor 879,JP
v00880,Vendor 880,DE
v00881,Vendor 881,DE
v00882,Vendor 882,CN
v00883,Vendor 883,DE
v00884,Vendor 884,US
v00885,Vendor 885,JP
v00886,Vendor 886,JP
v00887,Vendor 887,JP
v00888,Vendor 888,GB
v00889,Vendor 889,US
v00890,Vendor 890,BR
v00891,Vendor 891,JP
v00892,Vendor 892,GB
v00893,Vendor 893,FR
v00894,Vendor 894,AU
v00895,Vendor 895,BR
v00896,Vendor 896,US
v00897,Vendor 897,US
v00898,Vendor 898,CN
v00899,Vendor 899,CN
v00900,Vendor 900,BR
v00901,Vendor 901,GB
v00902,Vendor 902,US
v00903,Vendor 903,AU
v00904,Vendor 904,AU
v00905,Vendor 905,FR
v00906,Vendor 906,BR
v00907,Vendor 907,FR
v00908,Vendor 908,GB
v00909,Vendor 909,BR
v00910,Vendor 910,BR
v00911,Vendor 911,BR
v00912,Vendor 912,AU
v00913,Vendor 913,JP
v00914,Vendor 914,DE
v00915,Vendor 915,CN
v00916,Vendor 916,AU
v00917,Vendor 917,US
v00918,Vendor 918,JP
v00919,Vendor 919,CA
v00920,Vendor 920,GB
v00921,Vendor 921,DE
v00922,Vendor 922,GB
v00923,Vendor 923,BR
v00924,Vendor 924,US
v00925,Vendor 925,CN
v00926,Vendor 926,DE
v00927,Vendor 927,GB
v00928,Vendor 928,DE
v00929,Vendor 929,JP
v00930,Vendor 930,CA
v00931,Vendor 931,DE
v00932,Vendor 932,FR
v00933,Vendor 933,CN
v00934,Vendor 934,BR
v00935,Vendor 935,CA
v00936,Vendor 936,AU
v00937,Vendor 937,BR
v00938,Vendor 938,BR
v00939,Vendor 939,DE
v00940,Vendor 940,JP
v00941,Vendor 941,CA
v00942,Vendor 942,AU
v00943,Vendor 943,CA
v00944,Vendor 944,CA
v00945,Vendor 945,US
v00946,Vendor 946,FR
v00947,Vendor 947,MX
v00948,Vendor 948,DE
v00949,Vendor 949,FR
v00950,Vendor 950,GB
v00951,Vendor 951,CA
v00952,Vendor 952,JP
v00953,Vendor 953,BR
v00954,Vendor 954,MX
v00955,Vendor 955,BR
v00956,Vendor 956,GB
v00957,Vendor 957,JP
v00958,Vendor 958,BR
v00959,Vendor 959,CN
v00960,Vendor 960,BR
v00961,Vendor 961,CN
v00962,Vendor 962,AU
v00963,Vendor 963,DE
v00964,Vendor 964,GB
v00965,Vendor 965,CA
v00966,Vendor 966,CA
v00967,Vendor 967,US
v00968,Vendor 968,JP
v00969,Vendor 969,CN
v00970,Vendor 970,CN
v00971,Vendor 971,BR
v00972,Vendor 972,BR
v00973,Vendor 973,GB
v00974,Vendor 974,JP
v00975,Vendor 975,MX
v00976,Vendor 976,US
v00977,Vendor 977,BR
v00978,Vendor 978,FR
v00979,Vendor 979,US
v00980,Vendor 980,FR
v00981,Vendor 981,CN
v00982,Vendor 982,DE
v00983,Vendor 983,CA
v00984,Vendor 984,JP
v00985,Vendor 985,US
v00986,Vendor 986,CA
v00987,Vendor 987,DE
v00988,Vendor 988,CN
v00989,Vendor 989,CA
v00990,Vendor 990,US
v00991,Vendor 991,US
v00992,Vendor 992,AU
v00993,Vendor 993,DE
v00994,Vendor 994,CA
v00995,Vendor 995,AU
v00996,Vendor 996,BR
v00997,Vendor 997,JP
v00998,Vendor 998,US
v00999,Vendor 999,US
v01000,Vendor 1000,DE
v01001,Vendor 1001,BR
v01002,Vendor 1002,FR
v01003,Vendor 1003,US
v01004,Vendor 1004,CA
v01005,Vendor 1005,DE
