account_id,account_name,type,currency
1062,Account 1062,expense,CNY
1063,Account 1063,expense,CHF
1064,Account 1064,revenue,CHF
1065,Account 1065,asset,CAD
1066,Account 1066,equity,JPY
1067,Account 1067,revenue,CAD
1068,Account 1068,revenue,MXN
1069,Account 1069,liability,AUD
1070,Account 1070,asset,JPY
1071,Account 1071,equity,EUR
1072,Account 1072,equity,CAD
1073,Account 1073,revenue,CHF
1074,Account 1074,equity,GBP
1075,Account 1075,liability,BRL
1076,Account 1076,liability,CHF
1077,Account 1077,equity,USD
1078,Account 1078,equity,BRL
1079,Account 1079,expense,USD
1080,Account 1080,asset,BRL
1081,Account 1081,revenue,GBP
1082,Account 1082,asset,GBP
1083,Account 1083,equity,CAD
1084,Account 1084,asset,AUD
1085,Account 1085,asset,CHF
1086,Account 1086,liability,EUR
1087,Account 1087,expense,CHF
1088,Account 1088,liability,JPY
1089,Account 1089,equity,CNY
1090,Account 1090,expense,GBP
1091,Account 1091,equity,GBP
1092,Account 1092,revenue,MXN
1093,Account 1093,revenue,AUD
1094,Account 1094,equity,AUD
1095,Account 1095,asset,GBP
1096,Account 1096,liability,CAD
1097,Account 1097,revenue,USD
1098,Account 1098,equity,CHF
1099,Account 1099,liability,CNY
1100,Account 1100,liability,USD
1101,Account 1101,asset,USD
1102,Account 1102,liability,CAD
1103,Account 1103,asset,BRL
1104,Account 1104,asset,CHF
1105,Account 1105,liability,JPY
1106,Account 1106,expense,GBP
1107,Account 1107,equity,EUR
1108,Account 1108,equity,CNY
1109,Account 1109,expense,GBP
1110,Account 1110,expense,MXN
1111,Account 1111,liability,CAD
1112,Account 1112,asset,MXN
1113,Account 1113,revenue,MXN
1114,Account 1114,expense,AUD
1115,Account 1115,asset,CAD
1116,Account 1116,asset,MXN
1117,Account 1117,revenue,CAD
1118,Account 1118,liability,GBP
1119,Account 1119,liability,CHF
1120,Account 1120,expense,EUR
1121,Account 1121,expense,EUR
1122,Account 1122,revenue,AUD
1123,Account 1123,liability,CAD
1124,Account 1124,expense,CHF
1125,Account 1125,asset,USD
1126,Account 1126,equity,USD
1127,Account 1127,asset,GBP
1128,Account 1128,liability,MXN
1129,Account 1129,expense,AUD
1130,Account 1130,liability,MXN
1131,Account 1131,asset,EUR
1132,Account 1132,expense,USD
1133,Account 1133,expense,JPY
1134,Account 1134,expense,JPY
1135,Account 1135,expense,CHF
1136,Account 1136,expense,EUR
1137,Account 1137,liability,JPY
1138,Account 1138,liability,USD
1139,Account 1139,equity,CHF
1140,Account 1140,asset,BRL
1141,Account 1141,asset,USD
1142,Account 1142,equity,AUD
1143,Account 1143,equity,CHF
1144,Account 1144,liability,USD
1145,Account 1145,equity,CAD
1146,Account 1146,liability,CAD
1147,Account 1147,equity,CAD
1148,Account 1148,liability,MXN
1149,Account 1149,asset,CNY
1150,Account 1150,liability,CNY
1151,Account 1151,equity,USD
1152,Account 1152,equity,CAD
1153,Account 1153,expense,CNY
1154,Account 1154,equity,CHF
1155,Account 1155,revenue,JPY
1156,Account 1156,liability,BRL
1157,Account 1157,liability,JPY
1158,Account 1158,expense,EUR
1159,Account 1159,revenue,AUD
1160,Account 1160,revenue,CAD
1161,Account 1161,asset,AUD
1162,Account 1162,equity,CNY
1163,Account 1163,asset,CAD
1164,Account 1164,equity,GBP
1165,Account 1165,equity,JPY
1166,Account 1166,liability,BRL
1167,Account 1167,asset,GBP
1168,Account 1168,revenue,JPY
1169,Account 1169,liability,AUD
1170,Account 1170,equity,JPY
1171,Account 1171,equity,CHF
1172,Account 1172,asset,CHF
1173,Account 1173,revenue,CAD
1174,Account 1174,liability,JPY
1175,Account 1175,asset,CAD
1176,Account 1176,equity,EUR
1177,Account 1177,revenue,JPY
1178,Account 1178,equity,GBP
1179,Account 1179,revenue,GBP
1180,Account 1180,revenue,CHF
1181,Account 1181,expense,JPY
1182,Account 1182,asset,CAD
1183,Account 1183,expense,JPY
1184,Account 1184,asset,USD
1185,Account 1185,revenue,EUR
1186,Account 1186,revenue,EUR
1187,Account 1187,expense,CHF
1188,Account 1188,expense,CHF
1189,Account 1189,asset,CAD
1190,Account 1190,asset,EUR
1191,Account 1191,equity,USD
1192,Account 1192,revenue,CNY
1193,Account 1193,equity,EUR
1194,Account 1194,expense,EUR
1195,Account 1195,asset,JPY
1196,Account 1196,revenue,USD
1197,Account 1197,revenue,GBP
1198,Account 1198,liability,CAD
1199,Account 1199,revenue,CHF
1200,Account 1200,expense,CNY
1201,Account 1201,liability,GBP
1202,Account 1202,liability,EUR
1203,Account 1203,expense,USD
1204,Account 1204,liability,BRL
1205,Account 1205,expense,GBP
1206,Account 1206,revenue,EUR
1207,Account 1207,asset,MXN
1208,Account 1208,asset,AUD
1209,Account 1209,liability,GBP
1210,Account 1210,expense,BRL
1211,Account 1211,revenue,GBP
1212,Account 1212,liability,USD
1213,Account 1213,liability,MXN
1214,Account 1214,revenue,JPY
1215,Account 1215,asset,JPY
1216,Account 1216,revenue,CHF
1217,Account 1217,expense,CHF
1218,Account 1218,revenue,USD
1219,Account 1219,asset,JPY
1220,Account 1220,liability,CNY
1221,Account 1221,revenue,USD
1222,Account 1222,asset,CNY
1223,Account 1223,expense,BRL
1224,Account 1224,revenue,MXN
1225,Account 1225,equity,CHF
1226,Account 1226,asset,MXN
1227,Account 1227,equity,GBP
1228,Account 1228,revenue,USD
1229,Account 1229,expense,USD
1230,Account 1230,equity,CHF
1231,Account 1231,liability,BRL
1232,Account 1232,expense,CAD
1233,Account 1233,revenue,CNY
1234,Account 1234,revenue,CAD
1235,Account 1235,revenue,CHF
1236,Account 1236,revenue,MXN
1237,Account 1237,revenue,MXN
1238,Account 1238,revenue,CHF
1239,Account 1239,liability,GBP
1240,Account 1240,expense,MXN
1241,Account 1241,liability,CNY
1242,Account 1242,equity,JPY
1243,Account 1243,expense,CHF
1244,Account 1244,asset,JPY
1245,Account 1245,revenue,GBP
1246,Account 1246,expense,CNY
1247,Account 1247,equity,BRL
1248,Account 1248,expense,AUD
1249,Account 1249,expense,GBP
1250,Account 1250,equity,AUD
1251,Account 1251,liability,CAD
1252,Account 1252,revenue,CHF
1253,Account 1253,equity,BRL
1254,Account 1254,asset,GBP
1255,Account 1255,revenue,GBP
1256,Account 1256,liability,EUR
1257,Account 1257,asset,USD
1258,Account 1258,liability,AUD
1259,Account 1259,equity,CAD
1260,Account 1260,expense,MXN
1261,Account 1261,equity,GBP
1262,Account 1262,expense,AUD
1263,Account 1263,expense,GBP
1264,Account 1264,liability,USD
1265,Account 1265,asset,MXN
1266,Account 1266,liability,EUR
1267,Account 1267,equity,AUD
1268,Account 1268,asset,CHF
1269,Account 1269,liability,CAD
1270,Account 1270,expense,EUR
1271,Account 1271,expense,CHF
1272,Account 1272,equity,CNY
1273,Account 1273,revenue,AUD
1274,Account 1274,equity,CHF
1275,Account 1275,expense,CHF
1276,Account 1276,expense,EUR
1277,Account 1277,expense,AUD
1278,Account 1278,revenue,GBP
1279,Account 1279,revenue,CHF
1280,Account 1280,expense,GBP
1281,Account 1281,revenue,AUD
1282,Account 1282,asset,JPY
1283,Account 1283,liability,JPY
1284,Account 1284,revenue,BRL
1285,Account 1285,equity,CAD
1286,Account 1286,liability,EUR
1287,Account 1287,liability,MXN
1288,Account 1288,liability,GBP
1289,Account 1289,asset,MXN
1290,Account 1290,expense,BRL
1291,Account 1291,equity,AUD
1292,Account 1292,expense,USD
1293,Account 1293,liability,MXN
1294,Account 1294,expense,CNY
1295,Account 1295,asset,CNY
1296,Account 1296,expense,AUD
1297,Account 1297,asset,BRL
1298,Account 1298,revenue,MXN
1299,Account 1299,expense,CHF
1300,Account 1300,equity,CNY
1301,Account 1301,liability,AUD
1302,Account 1302,liability,JPY
1303,Account 1303,expense,AUD
1304,Account 1304,asset,MXN
1305,Account 1305,revenue,MXN
1306,Account 1306,liability,AUD
1307,Account 1307,liability,CNY
1308,Account 1308,equity,USD
1309,Account 1309,expense,CNY
1310,Account 1310,equity,USD
1311,Account 1311,asset,MXN
1312,Account 1312,liability,AUD
1313,Account 1313,liability,USD
1314,Account 1314,revenue,MXN
1315,Account 1315,revenue,GBP
1316,Account 1316,expense,BRL
1317,Account 1317,revenue,MXN
1318,Account 1318,revenue,MXN
1319,Account 1319,revenue,CAD
1320,Account 1320,expense,USD
1321,Account 1321,equity,USD
1322,Account 1322,revenue,GBP
1323,Account 1323,asset,USD
1324,Account 1324,asset,GBP
1325,Account 1325,liability,USD
1326,Account 1326,equity,EUR
1327,Account 1327,liability,EUR
1328,Account 1328,expense,CAD
1329,Account 1329,equity,GBP
1330,Account 1330,expense,JPY
1331,Account 1331,revenue,EUR
1332,Account 1332,equity,CNY
1333,Account 1333,asset,EUR
1334,Account 1334,revenue,CAD
1335,Account 1335,equity,USD
1336,Account 1336,revenue,CNY
1337,Account 1337,expense,MXN
1338,Account 1338,liability,CAD
1339,Account 1339,equity,GBP
1340,Account 1340,asset,JPY
1341,Account 1341,equity,CAD
1342,Account 1342,equity,USD
1343,Account 1343,revenue,CHF
1344,Account 1344,expense,BRL
1345,Account 1345,asset,CHF
1346,Account 1346,revenue,USD
1347,Account 1347,expense,AUD
1348,Account 1348,asset,MXN
1349,Account 1349,revenue,AUD
1350,Account 1350,liability,MXN
1351,Account 1351,liability,CHF
1352,Account 1352,revenue,CNY
1353,Account 1353,equity,AUD
1354,Account 1354,expense,MXN
1355,Account 1355,equity,JPY
1356,Account 1356,revenue,GBP
1357,Account 1357,asset,JPY
1358,Account 1358,expense,GBP
1359,Account 1359,expense,CNY
1360,Account 1360,equity,MXN
1361,Account 1361,revenue,USD
1362,Account 1362,expense,BRL
1363,Account 1363,liability,AUD
1364,Account 1364,liability,BRL
1365,Account 1365,revenue,BRL
1366,Account 1366,revenue,CNY
1367,Account 1367,revenue,CHF
1368,Account 1368,asset,CHF
1369,Account 1369,liability,CAD
1370,Account 1370,liability,MXN
1371,Account 1371,expense,CHF
1372,Account 1372,liability,AUD
1373,Account 1373,expense,AUD
1374,Account 1374,asset,CAD
1375,Account 1375,revenue,GBP
1376,Account 1376,expense,GBP
1377,Account 1377,revenue,CNY
1378,Account 1378,revenue,AUD
1379,Account 1379,equity,CHF
1380,Account 1380,revenue,MXN
1381,Account 1381,equity,BRL
1382,Account 1382,revenue,AUD
1383,Account 1383,revenue,JPY
1384,Account 1384,revenue,GBP
1385,Account 1385,asset,GBP
1386,Account 1386,revenue,CAD
1387,Account 1387,equity,EUR
1388,Account 1388,liability,GBP
1389,Account 1389,expense,JPY
1390,Account 1390,equity,CHF
1391,Account 1391,equity,JPY
1392,Account 1392,asset,GBP
1393,Account 1393,revenue,GBP
1394,Account 1394,revenue,EUR
1395,Account 1395,revenue,USD
1396,Account 1396,equity,EUR
1397,Account 1397,revenue,USD
1398,Account 1398,asset,CHF
1399,Account 1399,revenue,EUR
1400,Account 1400,expense,CAD
1401,Account 1401,asset,CNY
1402,Account 1402,revenue,AUD
1403,Account 1403,expense,AUD
1404,Account 1404,revenue,EUR
1405,Account 1405,asset,JPY
1406,Account 1406,expense,CAD
1407,Account 1407,asset,MXN
1408,Account 1408,expense,CAD
1409,Account 1409,equity,USD
1410,Account 1410,liability,EUR
1411,Account 1411,equity,JPY
1412,Account 1412,asset,GBP
1413,Account 1413,asset,CHF
1414,Account 1414,expense,CNY
1415,Account 1415,equity,CNY
1416,Account 1416,liability,CHF
1417,Account 1417,expense,AUD
1418,Account 1418,expense,JPY
1419,Account 1419,equity,MXN
1420,Account 1420,revenue,CNY
1421,Account 1421,equity,USD
1422,Account 1422,equity,CAD
1423,Account 1423,liability,GBP
1424,Account 1424,revenue,CAD
1425,Account 1425,liability,GBP
1426,Account 1426,liability,CHF
1427,Account 1427,asset,EUR
1428,Account 1428,asset,MXN
1429,Account 1429,expense,CNY
1430,Account 1430,expense,JPY
1431,Account 1431,asset,GBP
1432,Account 1432,revenue,JPY
1433,Account 1433,expense,CAD
1434,Account 1434,liability,JPY
1435,Account 1435,equity,GBP
1436,Account 1436,expense,CAD
1437,Account 1437,equity,GBP
1438,Account 1438,liability,JPY
1439,Account 1439,liability,CAD
1440,Account 1440,asset,EUR
1441,Account 1441,revenue,CNY
1442,Account 1442,equity,JPY
1443,Account 1443,expense,CAD
1444,Account 1444,expense,JPY
1445,Account 1445,expense,JPY
1446,Account 1446,equity,CHF
1447,Account 1447,expense,AUD
1448,Account 1448,asset,CNY
1449,Account 1449,asset,MXN
1450,Account 1450,revenue,CNY
1451,Account 1451,revenue,USD
1452,Account 1452,asset,GBP
1453,Account 1453,equity,CNY
1454,Account 1454,asset,JPY
1455,Account 1455,equity,USD
1456,Account 1456,liability,AUD
1457,Account 1457,equity,AUD
1458,Account 1458,revenue,EUR
1459,Account 1459,equity,MXN
1460,Account 1460,expense,CAD
1461,Account 1461,expense,BRL
1462,Account 1462,expense,BRL
1463,Account 1463,revenue,CAD
1464,Account 1464,liability,BRL
1465,Account 1465,expense,AUD
1466,Account 1466,revenue,MXN
1467,Account 1467,equity,USD
1468,Account 1468,expense,CAD
1469,Account 1469,revenue,JPY
1470,Account 1470,revenue,CAD
1471,Account 1471,expense,CHF
1472,Account 1472,asset,CHF
1473,Account 1473,expense,MXN
1474,Account 1474,asset,GBP
1475,Account 1475,equity,BRL
1476,Account 1476,equity,AUD
1477,Account 1477,expense,USD
1478,Account 1478,liability,JPY
1479,Account 1479,equity,EUR
1480,Account 1480,revenue,AUD
1481,Account 1481,expense,CAD
1482,Account 1482,asset,CNY
1483,Account 1483,liability,EUR
1484,Account 1484,revenue,CHF
1485,Account 1485,asset,CHF
1486,Account 1486,expense,CAD
1487,Account 1487,liability,CAD
1488,Account 1488,expense,CAD
1489,Account 1489,liability,AUD
1490,Account 1490,revenue,CHF
1491,Account 1491,revenue,MXN
1492,Account 1492,expense,AUD
1493,Account 1493,liability,AUD
1494,Account 1494,equity,EUR
1495,Account 1495,expense,GBP
1496,Account 1496,equity,CHF
1497,Account 1497,liability,CAD
1498,Account 1498,revenue,MXN
1499,Account 1499,revenue,CHF
1500,Account 1500,revenue,USD
1501,Account 1501,revenue,JPY
1502,Account 1502,equity,CNY
1503,Account 1503,expense,EUR
1504,Account 1504,expense,CHF
1505,Account 1505,expense,BRL
1506,Account 1506,revenue,CHF
1507,Account 1507,equity,MXN
1508,Account 1508,expense,BRL
1509,Account 1509,liability,GBP
1510,Account 1510,equity,MXN
1511,Account 1511,liability,MXN
1512,Account 1512,asset,BRL
1513,Account 1513,expense,MXN
1514,Account 1514,expense,EUR
1515,Account 1515,expense,USD
1516,Account 1516,liability,CHF
1517,Account 1517,equity,BRL
1518,Account 1518,asset,AUD
1519,Account 1519,asset,CHF
1520,Account 1520,expense,USD
1521,Account 1521,liability,MXN
1522,Account 1522,liability,CAD
1523,Account 1523,expense,JPY
1524,Account 1524,revenue,CNY
1525,Account 1525,expense,CAD
1526,Account 1526,revenue,CHF
1527,Account 1527,expense,BRL
1528,Account 1528,expense,CHF
1529,Account 1529,asset,CNY
1530,Account 1530,asset,GBP
1531,Account 1531,revenue,GBP
1532,Account 1532,asset,MXN
1533,Account 1533,asset,CAD
1534,Account 1534,expense,EUR
1535,Account 1535,revenue,USD
1536,Account 1536,asset,BRL
1537,Account 1537,asset,JPY
1538,Account 1538,revenue,BRL
1539,Account 1539,expense,EUR
1540,Account 1540,liability,CHF
1541,Account 1541,expense,CNY
1542,Account 1542,liability,EUR
1543,Account 1543,liability,CAD
1544,Account 1544,equity,MXN
1545,Account 1545,equity,GBP
1546,Account 1546,expense,CNY
1547,Account 1547,liability,GBP
1548,Account 1548,expense,JPY
1549,Account 1549,expense,JPY
1550,Account 1550,asset,AUD
1551,Account 1551,revenue,CHF
1552,Account 1552,liability,CAD
1553,Account 1553,expense,BRL
1554,Account 1554 – São_Paulo,equity,JPY
1555,Account 1555,expense,JPY
1556,Account 1556,expense,JPY
1557,Account 1557,liability,MXN
1558,Account 1558,expense,CAD
1559,Account 1559,liability,MXN
1560,Account 1560,equity,BRL
1561,Account 1561,equity,JPY
1562,Account 1562,revenue,USD
1563,Account 1563,expense,JPY
1564,Account 1564,asset,CNY
1565,Account 1565,asset,CNY
1566,Account 1566,expense,JPY
1567,Account 1567,liability,CNY
1568,Account 1568,revenue,GBP
1569,Account 1569,liability,CNY
1570,Account 1570,revenue,EUR
1571,Account 1571,asset,USD
1572,Account 1572,revenue,AUD
1573,Account 1573,asset,CNY
1574,Account 1574,revenue,EUR
1575,Account 1575,asset,JPY
1576,Account 1576,revenue,MXN
1577,Account 1577,liability,GBP
1578,Account 1578,liability,CHF
1579,Account 1579,revenue,CHF
1580,Account 1580,equity,JPY
1581,Account 1581,liability,JPY
1582,Account 1582,expense,JPY
1583,Account 1583,revenue,CAD
1584,Account 1584,expense,CAD
1585,Account 1585,liability,GBP
1586,Account 1586,expense,CHF
1587,Account 1587,revenue,CAD
1588,Account 1588,expense,USD
1589,Account 1589,revenue,CHF
1590,Account 1590,asset,AUD
1591,Account 1591,revenue,JPY
1592,Account 1592,equity,MXN
1593,Account 1593,revenue,CAD
1594,Account 1594,liability,AUD
1595,Account 1595,asset,CNY
1596,Account 1596,equity,BRL
1597,Account 1597,equity,GBP
1598,Account 1598,asset,AUD
1599,Account 1599,revenue,MXN
1600,Account 1600,asset,EUR
1601,Account 1601,asset,USD
1602,Account 1602,revenue,AUD
1603,Account 1603,asset,CAD
1604,Account 1604,liability,CHF
1605,Account 1605,liability,MXN
1606,Account 1606,expense,BRL
1607,Account 1607,equity,MXN
1608,Account 1608,equity,EUR
1609,Account 1609,expense,CAD
1610,Account 1610,expense,CNY
1611,Account 1611,expense,JPY
1612,Account 1612,asset,BRL
1613,Account 1613,liability,AUD
1614,Account 1614,expense,GBP
1615,Account 1615,revenue,CAD
1616,Account 1616,revenue,CHF
1617,Account 1617,revenue,USD
1618,Account 1618,expense,JPY
1619,Account 1619,liability,CAD
1620,Account 1620,expense,CAD
1621,Account 1621,liability,CNY
1622,Account 1622,asset,USD
1623,Account 1623,revenue,GBP
1624,Account 1624,liability,CNY
1625,Account 1625,liability,CAD
1626,Account 1626,equity,GBP
1627,Account 1627,equity,GBP
1628,Account 1628,liability,BRL
1629,Account 1629,liability,CNY
1630,Account 1630,asset,JPY
1631,Account 1631,liability,EUR
1632,Account 1632,equity,JPY
1633,Account 1633,liability,CAD
1634,Account 1634,asset,EUR
1635,Account 1635,asset,BRL
1636,Account 1636,liability,CNY
1637,Account 1637,revenue,USD
1638,Account 1638,liability,JPY
1639,Account 1639,asset,EUR
1640,Account 1640,expense,CHF
1641,Account 1641,asset,CAD
1642,Account 1642,expense,AUD
1643,Account 1643,revenue,CHF
1644,Account 1644,equity,CAD
1645,Account 1645,expense,CHF
1646,Account 1646,liability,CNY
1647,Account 1647,asset,CHF
1648,Account 1648,revenue,AUD
1649,Account 1649,asset,USD
1650,Account 1650,expense,MXN
1651,Account 1651,expense,CAD
1652,Account 1652,expense,AUD
1653,Account 1653,asset,CAD
1654,Account 1654,revenue,CNY
1655,Account 1655,liability,CAD
1656,Account 1656,liability,JPY
1657,Account 1657,equity,CNY
1658,Account 1658,equity,BRL
1659,Account 1659,expense,CNY
1660,Account 1660,equity,JPY
1661,Account 1661,expense,CHF
1662,Account 1662,equity,MXN
1663,Account 1663,asset,CAD
1664,Account 1664,equity,GBP
1665,Account 1665,expense,AUD
1666,Account 1666,liability,MXN
1667,Account 1667,revenue,AUD
1668,Account 1668,expense,MXN
1669,Account 1669,asset,BRL
1670,Account 1670,expense,BRL
1671,Account 1671,revenue,BRL
1672,Account 1672,liability,AUD
1673,Account 1673,asset,CAD
1674,Account 1674,asset,CAD
1675,Account 1675,expense,CAD
1676,Account 1676,revenue,EUR
1677,Account 1677,equity,USD
1678,Account 1678,equity,CHF
1679,Account 1679,equity,BRL
1680,Account 1680,asset,MXN
1681,Account 1681,revenue,MXN
1682,Account 1682,asset,JPY
1683,Account 1683,equity,JPY
1684,Account 1684,revenue,CAD
1685,Account 1685,equity,CHF
1686,Account 1686,liability,EUR
1687,Account 1687,expense,GBP
1688,Account 1688,asset,BRL
1689,Account 1689,equity,BRL
1690,Account 1690,asset,JPY
1691,Account 1691,equity,GBP
1692,Account 1692,expense,CHF
1693,Account 1693,equity,CNY
1694,Account 1694,equity,USD
1695,Account 1695,equity,JPY
1696,Account 1696,asset,EUR
1697,Account 1697,revenue,JPY
1698,Account 1698,revenue,BRL
1699,Account 1699,asset,EUR
1700,Account 1700,liability,CNY
1701,Account 1701,expense,CAD
1702,Account 1702,liability,USD
1703,Account 1703,asset,CHF
1704,Account 1704,liability,MXN
1705,Account 1705,expense,AUD
1706,Account 1706,revenue,EUR
1707,Account 1707,revenue,JPY
1708,Account 1708,revenue,CNY
1709,Account 1709,equity,CAD
1710,Account 1710,asset,EUR
1711,Account 1711,liability,CNY
1712,Account 1712,asset,CAD
1713,Account 1713,revenue,AUD
1714,Account 1714,expense,AUD
1715,Account 1715,equity,AUD
1716,Account 1716,expense,JPY
1717,Account 1717,liability,CHF
1718,Account 1718,asset,BRL
1719,Account 1719,expense,CAD
1720,Account 1720,revenue,CNY
1721,Account 1721,expense,CHF
1722,Account 1722,revenue,USD
1723,Account 1723,liability,MXN
1724,Account 1724,equity,USD
1725,Account 1725,asset,GBP
1726,Account 1726,revenue,GBP
1727,Account 1727,liability,JPY
1728,Account 1728,revenue,BRL
1729,Account 1729,asset,USD
1730,Account 1730,expense,MXN
1731,Account 1731,liability,EUR
1732,Account 1732,expense,CHF
1733,Account 1733,liability,CHF
1734,Account 1734,equity,BRL
1735,Account 1735,asset,MXN
1736,Account 1736,asset,MXN
1737,Account 1737,asset,AUD
1738,Account 1738,asset,BRL
1739,Account 1739,equity,MXN
1740,Account 1740,equity,MXN
1741,Account 1741,expense,JPY
1742,Account 1742,asset,MXN
1743,Account 1743,asset,BRL
1744,Account 1744,liability,CNY
1745,Account 1745,expense,BRL
1746,Account 1746,asset,MXN
1747,Account 1747,asset,GBP
1748,Account 1748,expense,CNY
1749,Account 1749,expense,CHF
1750,Account 1750,asset,MXN
1751,Account 1751,revenue,BRL
1752,Account 1752,liability,BRL
1753,Account 1753,liability,CAD
1754,Account 1754,equity,CAD
1755,Account 1755,equity,CHF
1756,Account 1756,liability,BRL
1757,Account 1757,revenue,EUR
1758,Account 1758,liability,CAD
1759,Account 1759,liability,JPY
1760,Account 1760,liability,EUR
1761,Account 1761,equity,EUR
1762,Account 1762,asset,EUR
1763,Account 1763,expense,AUD
1764,Account 1764,equity,CNY
1765,Account 1765,expense,CNY
1766,Account 1766,equity,BRL
1767,Account 1767,revenue,EUR
1768,Account 1768,expense,CAD
1769,Account 1769,expense,AUD
1770,Account 1770,revenue,JPY
1771,Account 1771,equity,USD
1772,Account 1772,revenue,CHF
1773,Account 1773,asset,JPY
1774,Account 1774,expense,AUD
1775,Account 1775,asset,USD
1776,Account 1776,revenue,JPY
1777,Account 1777,asset,CAD
1778,Account 1778,equity,CNY
1779,Account 1779,equity,MXN
1780,Account 1780,expense,CNY
1781,Account 1781,equity,USD
1782,Account 1782,expense,CNY
1783,Account 1783,liability,BRL
1784,Account 1784,equity,AUD
1785,Account 1785,equity,EUR
1786,Account 1786,asset,AUD
1787,Account 1787,asset,BRL
1788,Account 1788,asset,CHF
1789,Account 1789,liability,USD
1790,Account 1790,liability,AUD
1791,Account 1791,expense,CHF
1792,Account 1792,equity,CNY
1793,Account 1793,liability,BRL
1794,Account 1794,revenue,JPY
1795,Account 1795,expense,MXN
1796,Account 1796,revenue,CNY
1797,Account 1797,asset,BRL
1798,Account 1798,asset,BRL
1799,Account 1799,asset,CHF
1800,Account 1800,expense,JPY
1801,Account 1801,revenue,CNY
1802,Account 1802,liability,BRL
1803,Account 1803,asset,CNY
1804,Account 1804,liability,BRL
1805,Account 1805,revenue,MXN
1806,Account 1806,liability,CNY
1807,Account 1807,asset,JPY
1808,Account 1808,equity,MXN
1809,Account 1809,revenue,EUR
1810,Account 1810,equity,CAD
1811,Account 1811,expense,CHF
1812,Account 1812,revenue,USD
1813,Account 1813,revenue,JPY
1814,Account 1814,liability,GBP
1815,Account 1815,revenue,AUD
1816,Account 1816,liability,GBP
1817,Account 1817,liability,EUR
1818,Account 1818,asset,JPY
1819,Account 1819,asset,CHF
1820,Account 1820,equity,CHF
1821,Account 1821,asset,BRL
1822,Account 1822,equity,EUR
1823,Account 1823,equity,MXN
1824,Account 1824,liability,EUR
1825,Account 1825,liability,CNY
1826,Account 1826,liability,AUD
1827,Account 1827,asset,MXN
1828,Account 1828,revenue,GBP
1829,Account 1829,expense,CNY
1830,Account 1830,revenue,AUD
1831,Account 1831,liability,CHF
1832,Account 1832,liability,JPY
1833,Account 1833,expense,GBP
1834,Account 1834,revenue,CNY
1835,Account 1835,expense,AUD
1836,Account 1836,revenue,MXN
1837,Account 1837,equity,CHF
1838,Account 1838,expense,EUR
1839,Account 1839,liability,CNY
1840,Account 1840,liability,JPY
1841,Account 1841,asset,AUD
1842,Account 1842,revenue,CHF
1843,Account 1843,asset,CHF
1844,Account 1844,asset,JPY
1845,Account 1845,asset,EUR
1846,Account 1846,revenue,AUD
1847,Account 1847,equity,EUR
1848,Account 1848,expense,CAD
1849,Account 1849,liability,AUD
1850,Account 1850,revenue,USD
1851,Account 1851,expense,USD
1852,Account 1852,expense,CHF
1853,Account 1853,revenue,GBP
1854,Account 1854,expense,CAD
1855,Account 1855,revenue,GBP
1856,Account 1856,asset,BRL
1857,Account 1857,asset,BRL
1858,Account 1858,liability,EUR
1859,Account 1859,asset,JPY
1860,Account 1860,expense,EUR
1861,Account 1861,expense,AUD
1862,Account 1862,equity,USD
1863,Account 1863,asset,USD
1864,Account 1864,revenue,GBP
1865,Account 1865,liability,CHF
